City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,kiunga,-6.1219,141.2906,28.920000000000016,87,94,1.6,PG,1712032922
66,guane,22.2025,-84.0875,23.620000000000005,88,6,3.64,CU,1712032923
67,bethel,41.3712,-73.414,7.310000000000002,83,0,0.45,US,1712032844
68,newman,37.3138,-121.0208,14.580000000000041,77,0,2.68,US,1712032924
69,enewetak,11.3474,162.3373,27.120000000000005,74,97,7.55,MH,1712032925
70,iqaluit,63.7506,-68.5145,-0.14999999999997726,93,100,10.29,CA,1712032838
71,priozersk,61.0393,30.1291,3.890000000000043,87,100,3.66,RU,1712032926
72,peer,51.1317,5.4568,9.590000000000032,86,75,5.14,BE,1712032927
73,carnarvon,-24.8667,113.6333,34.30000000000001,35,6,3.95,AU,1712032928
74,kani keli,-12.9536,45.1033,28.590000000000032,68,87,2.6,YT,1712032929
75,gambiran satu,-8.3939,114.1464,29.49000000000001,75,75,1.81,ID,1712032930
76,fortaleza,-3.7227,-38.5247,28.07000000000005,78,0,1.03,BR,1712032675
77,kerrville,30.0474,-99.1403,18.78000000000003,73,100,3.6,US,1712032802
78,fortuna,40.5982,-124.1573,12.03000000000003,94,0,0.0,US,1712032932
79,hadibu,12.65,54.0333,27.58000000000004,68,96,2.39,YE,1712032849
80,nova sintra,14.8667,-24.7167,18.910000000000025,81,20,8.64,CV,1712032933
81,veraval,20.9,70.3667,29.090000000000032,43,94,4.4,IN,1712032933
82,igarka,67.4667,86.5833,-7.829999999999984,91,100,6.99,RU,1712032934
83,smara,26.7384,-11.6719,15.28000000000003,82,1,3.25,EH,1712032935
84,jiehu,35.5428,118.455,22.28000000000003,46,95,6.34,CN,1712032935
85,ciudad lazaro cardenas,17.9583,-102.2,22.920000000000016,86,100,1.17,MX,1712032869
86,giado,31.9582,12.0203,12.07000000000005,82,38,6.2,LY,1712032936
87,tefe,-3.3542,-64.7114,23.890000000000043,94,100,0.67,BR,1712032937
88,altai,46.3722,96.2583,2.3600000000000136,26,100,1.8,MN,1712032938
89,invercargill,-46.4,168.35,17.79000000000002,68,67,3.13,NZ,1712032671
90,amahai,-3.3333,128.9167,29.57000000000005,75,99,1.25,ID,1712032939
91,marat,25.0701,45.4615,19.180000000000007,60,100,1.19,SA,1712032939
92,monrovia,6.3005,-10.7969,26.160000000000025,91,37,1.38,LR,1712032940
93,itoman,26.1247,127.6694,26.210000000000036,89,75,8.23,JP,1712032941
94,castillos,-34.1667,-53.8333,15.28000000000003,75,91,3.36,UY,1712032941
95,paranhos,-23.8928,-55.4311,20.75,92,1,1.47,BR,1712032922
96,lebu,-37.6167,-73.65,12.03000000000003,70,99,3.64,CL,1712032943
97,arzgir,45.3728,44.2206,12.390000000000043,64,59,5.63,RU,1712032944
98,west island,-12.1568,96.8225,28.99000000000001,70,75,6.17,CC,1712032944
99,lihue,21.9789,-159.3672,25.58000000000004,82,100,7.72,US,1712032945
100,vilyuchinsk,52.9306,158.4028,5.150000000000034,80,100,3.2,RU,1712032946
101,darwin,-12.4611,130.8418,33.30000000000001,59,75,6.71,AU,1712032809
102,tromso,69.6496,18.957,-10.989999999999952,85,20,0.0,NO,1712032882
103,jasper,37.2001,-94.3502,16.670000000000016,93,100,2.57,US,1712032774
104,kingston,17.997,-76.7936,27.53000000000003,81,20,3.09,JM,1712032787
105,neryungri,56.6709,124.6491,-3.4799999999999613,82,100,4.34,RU,1712032691
106,boguchany,58.3814,97.4531,-3.6499999999999773,75,100,2.84,RU,1712032949
107,amarillo,35.222,-101.8313,8.350000000000023,84,100,6.69,US,1712032761
108,hammerfest,70.6634,23.6821,-7.75,86,100,1.03,NO,1712032950
109,lerwick,60.1545,-1.1494,6.0,75,100,13.67,GB,1712032951
110,stanley,54.868,-1.6985,3.730000000000018,97,20,1.03,GB,1712032944
111,margaret river,-33.95,115.0667,21.600000000000023,40,0,4.76,AU,1712032952
112,kruisfontein,-34.0033,24.7314,16.05000000000001,76,10,5.39,ZA,1712032953
113,losice,52.2113,22.718,12.480000000000018,91,100,3.67,PL,1712032953
114,rioja,-29.4111,-66.8507,18.860000000000014,63,61,1.82,AR,1712032808
115,tofol,5.3248,163.0078,28.220000000000027,82,91,8.43,FM,1712032954
116,messini,37.0511,22.0078,19.54000000000002,81,0,3.09,GR,1712032955
117,cockburn town,21.4612,-71.1419,24.510000000000048,67,1,7.84,TC,1712032714
118,tha maka,13.9,99.7667,39.55000000000001,19,0,2.55,TH,1712032956
119,iwon-up,40.3231,128.6553,8.460000000000036,53,94,2.49,KP,1712032957
120,alo,7.4178,6.7371,27.210000000000036,79,100,1.68,NG,1712032957
121,cabo san lucas,22.8909,-109.9124,20.610000000000014,71,13,0.89,MX,1712032842
122,alaghsas,17.0187,8.0168,27.439999999999998,12,16,1.57,NE,1712032959
123,correntina,-13.3433,-44.6367,24.430000000000007,72,100,2.01,BR,1712032959
124,kyenjojo,0.6328,30.6214,17.480000000000018,97,97,0.27,UG,1712032960
125,brookings,44.3114,-96.7984,1.3600000000000136,97,100,3.6,US,1712032929
126,lahij,13.1667,44.5833,24.379999999999995,71,100,2.92,YE,1712032961
127,saint-philippe,-21.3585,55.7679,24.77000000000004,86,100,7.05,RE,1712032961
128,nova vicosa,-17.8919,-39.3719,26.140000000000043,76,96,2.74,BR,1712032962
129,constantia,44.1833,28.65,14.379999999999995,65,99,4.66,RO,1712032809
130,luderitz,-26.6481,15.1594,15.840000000000032,70,0,6.09,NA,1712032963
131,iskateley,67.6803,53.1512,-6.4599999999999795,95,100,5.54,RU,1712032964
132,canatlan,24.5167,-104.7833,13.260000000000048,52,0,10.88,MX,1712032964
133,ceeldheer,3.8488,47.1806,29.980000000000018,69,35,4.51,SO,1712032965
134,panchgani,17.9167,73.8167,31.129999999999995,15,6,0.34,IN,1712032965
